,lat,long
P- Park Residence – Charansanitwong (Rama 7),13.8059883,100.5112704
B8 RooMs,13.8706152,100.5936065
Lee Garden Bangkok ลีการ์เด้น แบงคอค,13.710355,100.610115
13 Coins Airport Grand Resort,13.7470923,100.635504
Methvanont Manor,13.704488,100.5943028
99hotel,13.861186,100.509957
14th Place,13.6733854,100.4549094
14 LIVING,13.6817789,100.4730715
Silom Village Inn,13.724333,100.521932
Convenient grand hotel,13.697506,100.787544
Pool Villa @ Donmueang,13.8990447,100.5858285
The plimplace 2 (Hotel),13.8248973,100.5687562
BS Residence Suvarnabhumi,13.7202592,100.7393825
iDeer Hostel,13.722392,100.536283
Ricco suvarnabhumi,13.7462061,100.6749093
The Bangkok Major Suite,13.831173,100.5721165
Rikka Inn,13.7585162,100.4984241
Delight Residence,13.8903971,100.5615031
Oun Hotel Bangkok อุ่น โฮเทล,13.814405,100.6239645
โรงแรม เอสสามศูนย์ สุขุมวิท,13.7271345,100.5726685
New Suanmali hotel,13.7512611,100.5099855
Dreamcatcher Bangkok,13.726236,100.531378
Laksameenarai Guesthouse,13.7587018,100.4958925
"Yasinee CO., LTD.",13.7429425,100.6193558
The State Apartment,13.8056176,100.5299352
Oasis Inn Bangkok,13.745158,100.552432
Makkasan Inn,13.75303,100.54555
Baan Tipa House Wanglang,13.7545451,100.4861766
Jumbotel Hotel,13.8931346,100.5619567
Ban Boonbhali Hotel&Resort,13.841528,100.61917
Royal Asia Lodge,13.7349922,100.5559865
Hostel Na Nara,13.724471,100.52859
Riski Residence,13.8540539,100.534929
Kaloang Home,13.7734067,100.5014183
Don Mueang International Airport,13.9132602,100.6041987
Howard Square Boutique,13.6963011,100.5130678
We-Train Hotel Donmuang,13.9387495,100.5842684
14 residence,13.6482636,100.5228424
Suda Palace Hotel,13.7891887,100.5507307
Siamaze Hostel,13.7862978,100.5702574
Muangphol Mansion,13.746836,100.529376
Yaks House Hostel ยักษ์ เฮ้าส์ โฮสเทล,13.7676638,100.4853352
Gold Airport Suites,13.7188806,100.764061
Klean Residence Hotel,13.7199464,100.4958315
P Park Residence Suvarnabhumi,13.7369578,100.6429127
Centric Place Hotel,13.7579515,100.5642397
Thomson Hotel Huamark,13.753689,100.608384
ZEN Hostel Ratchatewi,13.7527563,100.5262163
Cozy Villa Hotel,13.7556192,100.5406425
ZEN Rooms Phaholyothin 69,13.887815,100.603064
โกมลเรสซิเดนซ์ กรุงเทพ Komol Residence Bangkok,13.78631,100.471642
Greenview Ekkamai 10,13.7257129,100.5905646
Poohsen,13.6207086,100.6297264
Tani,13.7607479,100.4981737
ZEN Rooms Silom Soi 17,13.7238144,100.521991
Chetuphon Gate,13.7449825,100.491885
THE PATRA HOTEL - RAMA9,13.7464436,100.6085675
Atsathon Apartment,13.7193134,100.5346756
BS Premier Airport,13.720115,100.739376
The Fifth Residence,13.750559,100.520167
OYO 108 Ruamchitt Plaza Hotel,13.7390565,100.5579901
Anda Hotel,13.76201,100.637768
Pitikant Place,13.9651778,100.6177279
ZEN Rooms Ladprao Soi 23,13.8055678,100.5752052
The Prima Residence,13.9129434,100.5930181
Coco@20,13.7338091,100.5635136
L'Hotel Bangkok / โรงแรม แอลโฮเทล กรุงเทพ,13.725128,100.6568988
Rafael Hotel and Mansion,13.6925194,100.7253258
Parvena Hotel,13.7177689,100.5390798
Marigold Hotel Sukhumvit,13.6517663,100.6000279
Sabai-Sabai at Sukhumvit Hotel,13.7323173,100.5985427
Euro Luxury Pavillion Hotel,13.7537055,100.539806
At One Inn - @ one inn Hotel,13.7377677,100.5200516
บ้านอิงน้ำรังสิต,13.9851733,100.6249018
The Cozi Inn,13.7540513,100.5398581
DI Place,13.7400567,100.5532681
The Bang Khun Phrom Suite,13.7646117,100.5003024
Suites 31 Sukhumvit,13.7343347,100.5661158
Leesort @ Onnuch,13.7101975,100.615089
Marvin Suites,13.7184514,100.5266749
KC PLACE Srinakarin,13.693467,100.646366
The Kaze 34 Hotel and Serviced Residence,13.723699,100.572271
Pratunam City Inn Hotel,13.7506902,100.5458678
RetrOasis Hotel,13.7340787,100.5648183
Cubic Pratunam,13.7545916,100.5360635
Grand Tower Inn,13.720862,100.5074219
Top High Airport Link Hotel,13.7558279,100.5364543
Vacio Suite,13.73062,100.560897
Centaur Inn Hotel,13.726126,100.517016
GUYASUKA Bangna,13.6604333,100.6121294
Bed-room @ Suvarnabhumi Airport,13.695207,100.787945
Wachi Hostel,13.7201006,100.4857099
O'Nidra House,13.726763,100.521072
Sananwan Palace ( สนานวรรณ พาเลซ),13.604206,100.715176
Murraya Residence,13.811234,100.6036329
New Siam 2 Guest House,13.7615654,100.4931743
GLUR CENTRAL PRATUNAM HOSTEL,13.7520255,100.5361393
วิวเพลส แมนชั่น ลาดพร้าว 130 Viewplace Mansion,13.7714021,100.6322676
Bharani Hostel ภรณีโฮสเทล,13.7383427,100.5637833
Four Sons Village,13.761339,100.493977
YHA Bangkok Airport,13.6982064,100.7348371
Kamin Bird Hostel 1,13.7728472,100.571845
SidaRe Bed and Breakfast,13.7875609,100.5753082
Thanapa Mansion,13.8856261,100.6078155
T3 Residence,13.807781,100.6090737
Penpark Place เพ็ญภาค เพลส,13.765532,100.497618
1989 Sukhumvit Hostel & Cafe,13.7293089,100.5652042
The Chilli Bangkok,13.7311305,100.5166596
Thai Cat Hostel,13.7544337,100.5422414
Sathorn Saint View Serviced Apartments,13.7160866,100.5233731
Urban Hostel Bangkok,13.732795,100.519103
Rama9 KAMIN BIRD Hostel,13.7628887,100.563436
U-SA-BY House,13.9118531,100.5226031
Mile Map Hostel,13.723866,100.523141
The Garden Place,13.7316281,100.5806074
Sakun Place,13.640625,100.63561
Siam Plug in Hostel,13.7195666,100.5065183
BRB Hostel Bangkok Silom,13.726641,100.53102
The Mix Bangkok Phrom Phong,13.7215645,100.5648705
Grand Living Place.,13.7899437,100.5785924
SamSenSam Place,13.7655275,100.4983609
@home Phetkasem แอ้ดโฮม เพชรเกษม57,13.7073243,100.3925015
Phurahong Homestay,13.884057,100.624063
Sawasdee House,13.7609952,100.4963955
โรงแรมวอเตอร์ไซด์ Waterside Boutique Hotel,13.7765559,100.4711558
Mellow Fellow Hostel Bangkok,13.7513445,100.5285431
YINDEE HOSTEL,13.7269593,100.5260172
Fulllax Guesthouse,13.6806064,100.6093728
Chan Cha La 99 Hostel,13.696226,100.606556
Synsiri 3 Lad Prao 83,13.7863495,100.6135547
บ้าน บุญอนันต์ อพาร์ตเม้นท์,13.9710105,100.6215058
Decor Do Hostel,13.721218,100.5077188
Wake up hostel bangkok,13.7731156,100.571754
Bed Bangkok Hostel,13.7442548,100.5510377
Oldtown Hostel,13.730911,100.515475
Sleep Dee Hostel,13.7120423,100.5937791
Smile Society,13.7278218,100.5305643
Wanderlust Bangkok Hostel,13.7183138,100.7625062
Zee Thai Hostel,13.763652,100.5032065
3Howw Hostel,13.762731,100.5016636
Tiger Lily Hostel (ไทเกอร์ ลิลลี่ โฮสเทล),13.7488075,100.515792
HappyLand Mansion,13.782128,100.64378
Nine Place 81,13.7058615,100.6060589
BB House Rambutri,13.7601057,100.4940036
Din Space Bangkok,13.7205166,100.4955254
Backpack Station,13.714524,100.595834
Green House Hotel,13.7599468,100.4971183
Loftel Station Hostel,13.7367719,100.5187067
petit hotel guest house hostel bangkok,13.7255386,100.5103953
Nivas Siam Hostel,13.7275983,100.4899753
Rest Inn Dormitory,13.7611954,100.497114
Yorying Hostel,13.7635593,100.5000929
T Hostel Rama 4,13.721137,100.561516
I Sleep Silom,13.726162,100.525421
Lovely House Silom,13.7269303,100.5379717
Naratel Hostel Bangkok,13.7276033,100.5267447
Beige poshtels,13.9119682,100.5715805
Hoppers Place Donmueang Hostel,13.915068,100.585882
Eurna Resort,13.6494877,100.4452895
Hits Hostel,13.761024,100.498156
1Sabai Hostel,13.7396727,100.5654298
Good Day Hostel,13.7520639,100.5369598
Unico Hostel Bangkok @ Sukhumvit 101,13.6907263,100.6153736
Live It Up Asok,13.735612,100.561999
Grandpa's Hostel Bangkok,13.766762,100.484353
Kama Bangkok,13.702796,100.513714
analog hostel,13.7345317,100.5660531
The Pillow Hostel Khaosan,13.7589904,100.4981959
Mascot Hostel,13.7535066,100.5434259
Roof View Place,13.763354,100.502049
HANU Hostel & Sky Bar,13.7563284,100.4980846
Saverah Inn,13.7276511,100.5213212
The Twins Hostel,13.7632268,100.5000342
The Cube Hostel,13.7277655,100.5364564
2W Bed & Breakfast Bangkok,13.7387164,100.5146016
Siamhubbiz,13.7920967,100.5511883
Buff hostel,13.789401,100.548631
Silom Art Hostel,13.7261613,100.5249754
Nitan Hostel Khaosan,13.7583443,100.4978251
T-Boutique Hostel (Hua Lamphong),13.738288,100.520589
Adventure Hostel Bangkok,13.793437,100.549389
HQ Hostel,13.7267676,100.5309798
GN Luxury Hostel,13.7574474,100.5423558
Samsen 8 Rooftop Cafe & Hostel,13.7652881,100.5001365
Smile Inn,13.7546541,100.510505
Micro Hostel,13.753318,100.537273
Welcome Sawasdee Inn,13.759628,100.497976
Bangkok Hub Hostel,13.717636,100.514759
Phohostel,13.7450959,100.4914163
White Orchid Inn 2,13.740085,100.5532275
Yor Yak Hostel,13.7207445,100.496137
The Nexchange Bangkok Hostel,13.7618216,100.5657339
Mueang Mueang Inn hostel,13.71524,100.5937463
ON THE BED hostel,13.744268,100.5509
OUR SECRET BASE,13.7390376,100.5132853
ซีเคแมนชั่น,13.855122,100.518164
Lazy Blue House,13.7295988,100.5608926
Home Mali Hostel,13.75391,100.530492
Blue Jasmine Hostel (บลู จัสมิน โฮสเทล),13.747837,100.516427
Green home Hostel,13.7519919,100.5359725
Loftel 22 Hostel,13.7332179,100.5143266
ZEN Rooms Damrongrak Road,13.7546612,100.5104943
Tini Kati Hostel (Silom Bird House),13.7266919,100.5311915
Nice Bird Suite,13.8623468,100.5514294
Bangkok Bed and Bike,13.747408,100.497438
My Bed Ratchada,13.8055921,100.5751994
Kinnon Hostel,13.728338,100.5297775
PanPan Hostel,13.7230857,100.523027
Live It Up Central,13.74185,100.544481
Bed@Town,13.7485663,100.5413224
Jellybean EZY Hostel Sathorn,13.7240898,100.5482266
Inn Stations Hostel,13.7381448,100.5190551
S1 Hostel,13.721083,100.546102
Baan 89 Hostel,13.755212,100.502884
Oneday Hostel,13.7266014,100.5702598
Everyday Bangkok Hostel,13.731991,100.526871
Restiny Hostel,13.754454,100.532256
Natee Hostel,13.7533859,100.5371616
X9Hostel,13.7546188,100.5662072
Ploen Bangkok Hostel,13.760584,100.497704
Monomer Hostel Bangkok,13.7528381,100.5312402
Baan Gaysorn Hostel,13.718894,100.514984
PAMAhouse Boutique Hostel,13.7104966,100.4981339
Boon Street Hostel,13.7544692,100.4983687
Thonglor Travellers Hostel and Cafe,13.7240501,100.5791852
Chic Hostel,13.7377596,100.5154241
Naturbliss Boutique Residence,13.844144,100.652607
T Hostel Victory Monument,13.7672379,100.5398825
HEYYYY BANGKOK,13.7359932,100.6394542
minimis hostel,13.7310266,100.5325215
ZZZ Hostel,13.9240522,100.598286
Silom Space Hostel,13.7291554,100.535414
Full House Khaosan Hostel,13.7613933,100.4991498
M House Hostel,13.7539792,100.5301304
NTY Hostel Near Suvarnabhumi Airport,13.7330296,100.6910246
Rimklong Hostel,13.7554088,100.5072055
A'hostel Bangkok,13.789408,100.546267
C40winks hostel,13.726314,100.531501
มุสลิมโฮม 2 Muslimhome2,13.760657,100.622246
Yim Yam Hostel & Garden,13.7531217,100.5325084
In A Box Hostel,13.7559133,100.5337031
VM1 Hostel,13.768913,100.5394587
Sakura Sky Residence Hotel,13.7347319,100.5675444
Preme Hostel,13.7353257,100.5634926
Fu House Hostel,13.7351949,100.5560013
Happy Monkey Hostel Bangkok,13.753386,100.537029
Folk Poshtel Silom,13.7231553,100.5205677
The Chatbox Silom Hostel,13.7278386,100.5266815
Phresh Hostel,13.7104314,100.6098912
ASA Hostel,13.743218,100.510607
BH Business Hotel,13.74685,100.55112
Pannee Residence At Dinsor,13.7577704,100.5022346
Room at Vipa,13.841548,100.559855
허니하우스 (Honey Guest House),13.73649,100.557424
HI YHA Thewet (Hostelling International วายเอชเอเทเวศร์),13.7690384,100.5068821
The Street Hostel Bangkok,13.760428,100.498029
Benjaratch Boutique Apartment,13.7960105,100.710807
Vijittada Hostel & Tour,13.7631962,100.4988631
Take A Rest Hotel,13.9116538,100.5936873
"The Seven Luck, Bangkok",13.7539082,100.5140325
DD Hostel @ Victory Monument Bangkok,13.763037,100.543582
D-HOUSE HOSTEL,13.9256884,100.5989008
New Siam III Guest House,13.7622212,100.4954785
Space One,13.7335966,100.5252912
โรงแรมบางกอกคอนโดเทล (Bangkok Condotel Hotel),13.790956,100.543326
amenity@22,13.7256415,100.5648622
TN39 Serviced Apartment,13.7361536,100.5746
Siam Star Hotel,13.7545793,100.5407948
Ban Thungdang Boutique Hotel,13.7555495,100.5011702
Adamaz House,13.7621844,100.4967757
Pongsakorn Boutique Resort,13.7187603,100.7891546
Maderla,13.720896,100.547141
TUB Mansion,13.906803,100.509737
Sudyod Apartment,13.775652,100.481053
At Smile House,13.755965,100.497959
Room@Doze,13.914851,100.539229
Diamond sweet hotel โรงแรมไดมอนด์ สวีท,13.7072598,100.4166495
Zenya Inn,13.7391234,100.5549483
S 6 Sukhumvit Hotel,13.739364,100.555436
SPN Place Ratchada,13.766791,100.5701073
Dream Town Pratunam Hotel,13.7549646,100.5354861
J Two S Pratunam Hotel,13.7552127,100.5384353
Poonchock Mansion,13.823974,100.563515
Paragon One Residence,13.757646,100.503005
Seri 47 Residence,13.783915,100.672283
iCheck inn Sukhumvit 22,13.721878,100.564518
Serene Asoke Suites,13.7373434,100.5617714
Naifun BB House,13.6580911,100.6180876
Coop Dopa Hostel,13.7735294,100.5098531
Studio Nana by iCheck inn,13.7405217,100.5566956
The Krungkasem Srikrung Hotel (โรงแรมกรุงเกษมศรีกรุง),13.738921,100.515272
Cacha Bed Heritage Hostel,13.7468696,100.5029992
Bangkok Travel Suites Hotel,13.8551739,100.5328094
The Mix Bangkok - Silom,13.7223009,100.5208001
Don Mueang Airport Modern Bangkok,13.9250156,100.6000488
12th Avenue Hotel Bangkok,13.7345505,100.5578375
Mandarin Hotel Bangkok,13.733129,100.527056
Eastin Thana City Golf Resort Bangkok,13.641022,100.7326122
Parinda Hotel,13.735741,100.5518522
Centre Point Hotel Pratunam,13.7519154,100.5372288
Admiral Premier Bangkok By Compass Hospitality,13.739233,100.56425
Salil Hotel Sukhumvit - Soi Thonglor 1,13.7274428,100.5786293
Dynasty Grande Hotel,13.7389435,100.5538763
Gold Orchid Bangkok,13.7918155,100.5608199
Citadines Sukhumvit 16 Bangkok,13.7335686,100.5608879
The Park Nine Suvarnabhumi,13.7229421,100.7238756
Sukhothai Residence,13.7386343,100.5489211
P.K.Garden Home,13.7571201,100.5076644
Seven Place Executive Residences,13.7324627,100.597589
"Zenith Sukhumvit Hotel, Bangkok",13.7449072,100.5531504
The Residence on Thonglor By Uhg,13.7394972,100.5842809
Casa Nithra Bangkok,13.7659218,100.5007447
Maven Bangkok Hotel,13.7475179,100.5715867
Amari Don Muang Airport Bangkok,13.9205787,100.6007649
The Vertical Suite (โรงแรมเดอะเวอร์ติเคิล สวีท),13.6905461,100.6468985
Holiday Inn Bangkok Silom,13.7227351,100.5195909
Amari Residences Bangkok,13.7481993,100.5849038
Centra by Centara Government Complex Hotel & Convention Centre Chaeng Watthana,13.8837325,100.5647211
Chillax Resort,13.762416,100.499945
Ariva Ivy Servizio Thonglor Serviced Apartment,13.7372476,100.5833249
Citrus Suites Sukhumvit 6 by Compass Hospitality,13.7389757,100.5535658
Arcadia Suites Phloenchit Sukhumvit Bangkok by Compass Hospitality,13.746418,100.54953
Benviar Tonson Residence,13.7381279,100.5442183
Golden Tulip Sovereign Rama 9,13.753494,100.5721909
Arte Hotel,13.7401589,100.5595177
Evergreen Place Siam by UHG,13.7507457,100.5306507
Grand Swiss Sukhumvit 11 Hotel Bangkok by Compass Hospitality,13.740865,100.5565856
Phachara Suites Sukhumvit,13.739306,100.553729
Kantary House Bangkok Hotel & Serviced Apartments,13.7608544,100.6396643
Bliston Suwan Park View Hotel & Serviced Residence,13.742094,100.545348
QiSS Residence by Bliston,13.714117,100.586721
Oakwood Residence Sukhumvit Thonglor Bangkok,13.734705,100.580767
Boulevard Hotel Bangkok Sukhumvit - โรงแรม บูเลอวาร์ด กรุงเทพ สุขุมวิท,13.7419593,100.5546212
Maitria Hotel Sukhumvit 18 – A Chatrium Collection,13.732956,100.562614
Centre Point Hotel Silom,13.7200658,100.5150546
Park Plaza Bangkok Soi 18,13.7328306,100.5629105
Buddy Oriental Riverside,13.9283809,100.5022468
21 Saladaeng,13.7269405,100.5369214
Chatrium Residence Sathon Bangkok,13.702489,100.537566
Shama Lakeview Asoke,13.7297877,100.5613044
In Residence Bangkok Sukhumvit,13.744068,100.5576887
Majestic Grande,13.7403361,100.5518022
Somerset Ekamai Bangkok,13.7230721,100.5864818
"Park Plaza Sukhumvit Hotel, Bangkok",13.7349128,100.5604631
The Emerald Hotel,13.7754502,100.5725366
Centre Point Hotel Chidlom,13.73897,100.54335
V Residence Serviced Apartment,13.729208,100.571177
The Celadon Bangkok,13.7299013,100.5998134
Hotel Icon Bangkok,13.739691,100.551914
CNC Residence,13.7343048,100.5685715
Montien Hotel Bangkok,13.730542,100.5310982
Hotel Tranz,13.7569898,100.5344544
Hotel Once Bangkok,13.707218,100.507041
Hope Land Hotel Sukhumvit 8,13.7368522,100.5557746
Jasmine 59 Hotel,13.725222,100.5814785
Somerset Park Suanplu Bangkok,13.7216461,100.537737
Novotel Bangkok Sukhumvit 4,13.7392218,100.553254
Amaranta Hotel,13.7789193,100.5762781
The Best Bangkok House Hotel,13.7553069,100.538283
Grand Inn Hotel,13.7425794,100.5531125
Masters Suites,13.7428037,100.5536821
V Place Silom,13.728424,100.533464
Dang Derm Hotel,13.759443,100.496481
Phaphoom Boutique,13.6675129,100.7196723
The Mini R Ratchada Hotel,13.7731736,100.5730422
Kim​ Korner Hotel,13.753492,100.5383138
The Heritage Baansilom,13.723356,100.52074
Cordia Residence Saladaeng คลอเดีย เรซซิเด้น ศาลาแดง,13.726922,100.537205
House By the Pond,13.7268124,100.5629239
Ten Stars Inn Hotel,13.7535201,100.5383987
ZEN Rooms Silom 12,13.726101,100.526447
Montri Resort Donmuang Bangkok,13.9109864,100.5916223
Boone Place,13.7504659,100.5205826
Resort M - MRT Huai Khwang,13.7816311,100.5757588
Uno Inn,13.7428919,100.5525015
B.U. Place Hotel,13.761423,100.558823
Botanic Serviced Rooms,13.89868,100.552926
Boutique Poo-Yai Ma @BP Place 曼谷马村长精品酒店,13.7962146,100.5539805
Prom Ratchada Residence,13.7701588,100.5706434
Khaosan Park Resort,13.758247,100.49793
Sathorn Terrace Apartment,13.718595,100.516008
Letana Hotel,13.6002336,100.7196986
White Palace Hotel,13.7544113,100.538053
The Shade House,13.670466,100.615031
Ravipha Residences,13.83984,100.553301
Resort V MRT Huai Kwang,13.784702,100.5709612
Sleep Withinn Bangkok,13.7602278,100.4969212
Sabaidee Minitel,13.7575132,100.5160403
"Oberry Resort (company Oberry Property Co., Ltd.).",13.733392,100.58582
Bangkok Loft Inn,13.7219167,100.4918293
Smart Mansion,13.7953025,100.7109388
Golden Jade Suvarnabhumi,13.7227661,100.7368932
The Victory Residences Hotel,13.760135,100.53702
41 Suite Bangkok,13.7294884,100.572419
Lullaby Inn,13.725529,100.5254712
Hostel Jo at Asoke,13.7323949,100.5610927
iCheck Inn Silom,13.724467,100.521229
VILLA23 Residence,13.869635,100.622618
Sourire @ Rattanakosin Island,13.757029,100.503544
Resort Bangphlat,13.7890843,100.5010662
Hyde Park Hotel Bangkok,13.7575825,100.5432409
Casa Residence Hotel,13.8893567,100.576033
Red Planet Bangkok Asoke,13.7354375,100.5601194
China Guest Inn,13.725905,100.52525
Lucky Palace Hotel,13.7427914,100.5533354
Arom d hostel,13.7456756,100.4915229
Sawasdee @Sukhumvit Soi 8,13.736028,100.5558327
La Residence Bangkok Hotel,13.7280717,100.5258592
OYO 117 King One Suvarnabhumi,13.7163697,100.7160045
Bangkok City Inn,13.7487098,100.5416322
Charlie House Pinklao,13.778119,100.480817
Ratchada City Hotel,13.7780715,100.5763171
Grand Lucky Hotel,13.7429194,100.5535255
ZEN Rooms Ekkamai 6,13.7260737,100.585514
PJ Watergate,13.7522159,100.5429157
Aranta Airport Hotel,13.723251,100.732283
Royal Garden Home Hotel,13.7463689,100.5536634
Retro39 - Hotel in Bangkok,13.730765,100.5705
UMA Residence,13.7842747,100.5131807
iCheck inn Residences Sukhumvit 20,13.7291125,100.5630796
Asoke Suites,13.7357429,100.5619702
Vimala Residence,13.7236147,100.5692323
Meet Inn @Silom,13.7264183,100.5373639
Paradiso Boutique Suites,13.738572,100.557507
Interchange Tower,13.757539,100.545812
The Nook,13.7532086,100.5354303
Kriss Residence,13.7226898,100.763806
Galleria Mansion,13.779849,100.572935
Silom Convent Garden,13.7245097,100.53262
The Travellers Hotel,13.7972595,100.5741735
Studio Asoke,13.7396433,100.5619376
W22 by Burasari,13.7416269,100.5130271
Khurana Inn,13.7542462,100.5398154
Pratunam Pavilion Hotel,13.7547434,100.5396418
IYARIN @ Tuk Chang,13.8253521,100.5677258
Baan Dinso,13.755243,100.501114
Siri Suvan at Rambuttri,13.761929,100.4946202
Karnmanee Palace Hotel,13.7913062,100.5420536
Baiyoke Boutique Hotel Bangkok,13.7549564,100.5404248
Red Planet Bangkok Surawong,13.7287721,100.5268999
Siam Piman Hotel,13.7967976,100.714692
Mon Lodge @ Yoga House Don Mueang,13.9169534,100.5840893
Big Tree Residence,13.6263686,100.7011837
Hotel De'Moc,13.761561,100.504463
Mariya Boutique Residence At Suvarnabhumi Airport,13.7219382,100.771579
โรงแรม cozy@9 hotel and kitchen,13.7537896,100.5700972
Bossotel Inn,13.721277,100.5153878
Crystal Suites Suvarnabhumi Airport,13.7214484,100.7307361
The Ecotel Bangkok,13.752537,100.546652
Eleven Avenue Suites,13.740973,100.556397
hotel Talakkia Boutique,13.732625,100.5143268
King Park Avenue Hotel,13.693803,100.6444051
W Home Bangkok,13.7055849,100.5108113
THA City Loft Hotel,13.7261617,100.5854587
Ibis Bangkok Sathorn,13.7217721,100.546654
Woodroof Residence Rangsit,13.972967,100.5864191
KC PLACE HOTEL PRATUNAM,13.7546645,100.5412052
The Rich Sathorn-Taksin,13.7199882,100.493356
Chevasai Bangkok,13.7083326,100.5012329
Korbua House,13.7615906,100.4999754
Royal Ivory Sukhumvit Nana by Compass Hospitality,13.7369255,100.5533646
N-Siri Resort & Hotel,13.9375688,100.6958016
C U INN Bangkok,13.810633,100.559109
Villa Phra Sumen,13.759097,100.5032333
Eight Ville,13.7348782,100.555821
Tara Monte Hotel Pratunam,13.754739,100.540075
Case Study Asoke,13.7465532,100.5620251
First House Hotel Bangkok,13.752557,100.539075
Omni Tower Syncate Suites,13.7375247,100.5532094
MetzPratunam Hotel,13.7536682,100.536897
The Park Hotel Bangkok Sukhumvit 7,13.741891,100.555533
Glitz Hotel,13.729276,100.529703
Baan Rangnam,13.760546,100.53951
SKYDOME RESOTEL,13.838433,100.599831
P2 Boutique,13.7504574,100.5458503
Far East Inn,13.747287,100.543929
THE HAB HOSTEL,13.7092763,100.502186
True Siam Rangnam Hotel,13.7585911,100.5396502
Lasalle Suites and Spa,13.664399,100.618362
Armoni Sukhumvit Soi 11 Hotel,13.7407228,100.5566968
Bavana Hotel Thaniya Soi2,13.7303,100.5328503
Thee Bangkok Hotel,13.7328599,100.5642443
Lee Nova Place,13.6889836,100.6389415
The TEPP Aparthotel,13.6574688,100.6213223
VismaYa Suvarnabhumi Hotel,13.7099882,100.732097
Serene Bangkok Bed & Breakfast,13.83019,100.5629082
Le Méridien Bangkok,13.7300836,100.5302398
Citin Pratunam Hotel Bangkok by Compass Hospitality,13.7545623,100.5393419
Buddy Boutique Inn,13.7593525,100.4954611
Buddy Lodge Hotel,13.758557,100.498536
Siam Golden Place,13.7301221,100.7334543
Asia Resort,13.816047,100.6388838
The Myth-Sud Sathorn,13.7181893,100.5156773
D Varee Xpress Pula Silom,13.7291389,100.5348248
"Hotel de Bangkok, PRATUNAM โรงเเรม เดอ บางกอก",13.757095,100.5428837
New Siam Palace Ville,13.759948,100.493113
Zircon Hotel,13.7596169,100.6389774
B1 Residence,13.7453766,100.5514583
Lilac Relax-Residence,13.7234156,100.7538896
D-Box Hostel Bangkok,13.753349,100.536017
True Siam Phayathai Hotel,13.7592648,100.5365063
Siam Swana Hotel,13.7518494,100.5300734
Khaosan Palace,13.759262,100.497174
ZEN Rooms Yaowarat soi 7,13.7384501,100.5115769
The FAH Silom Hotel,13.7278703,100.5307234
Baby Blue Inn Bangkok,13.723914,100.534665
Legacy Express,13.7428666,100.5510552
Silom City Hotel,13.72575,100.522521
iCheck Inn Nana,13.7414092,100.5557726
128 Thai Massage,13.741771,100.5533464
S33 Compact Sukhumvit Hotel,13.734943,100.567415
ZEN Premium Sukhumvit 33,13.7346283,100.5675098
Silom Avenue Inn Hotel,13.7247401,100.5223064
Miloft Sathorn Hotel,13.7126488,100.5154276
Tara Place Hotel,13.764393,100.499496
"LUXX Hotel Bangkok, Silom Thailand",13.7261051,100.5253673
My View Apartment,13.7341741,100.5543477
NANA Hotel,13.7413032,100.5528724
Nest by Sangob,13.769214,100.581032
ZEN Rooms Ratchaprarop,13.754358,100.53939
Ibis Styles Bangkok Sukhumvit 50,13.7020225,100.5877071
Bangkok City Hotel,13.754121,100.528689
Kokotel Bangkok Surawong,13.727561,100.524491
Sereine Hotel,13.7333999,100.5706055
Siam Paradise Hotel / Siam Paradise entertainment Complex,13.851413,100.554876
Baan Tanwa บ้านธันวา,13.7975808,100.5718513
Grand Business Inn,13.7406157,100.5563479
A-One Inn Guest House,13.747889,100.52988
Rider Resort,13.6978243,100.6527532
CharoenKrung Habitat,13.7221526,100.5165303
Methavalai Residence Bangkok,13.7561396,100.5020255
ออมนิสวีท อพาร์ท โฮเทล,13.746238,100.645076
Grand Lord (Boutique) Hotel,13.7084962,100.6451933
The 93 Hotel,13.7539977,100.5389977
S.D. Avenue Hotel,13.7760942,100.4798983
Pratunam19 hotel,13.7531756,100.5388719
Stable Lodge Hotel,13.7383868,100.5561658
Eazy Motel Bangna,13.6434191,100.6890042
Ebina House,13.8752359,100.5796717
Tarawish Hotel,13.7557752,100.5366368
Royal View Resort Rangnam,13.761113,100.539815
The Ninth Place Serviced Residence,13.688,100.646
good one hostel,13.725493,100.528768
Majestic Suites Hotel Nana Bangkok.,13.741875,100.553194
Baiyoke Suite Hotel,13.753043,100.539507
Bizotel Bangkok,13.7596042,100.5405206
Le Fenix Sukhumvit,13.744959,100.5560594
Maxim's Inn,13.741588,100.555604
August Residence,13.7393395,100.5665094
Jazzotel,13.7680851,100.5974507
Duplex 21 Apartment,13.7615829,100.6027384
Thongtara House Boutique Hotel,13.6422778,100.633392
Ibis Bangkok Impact,13.9161123,100.5516239
Greenpoint Residence,13.8078169,100.6160886
Aspira D' Andora Sukumvit 16,13.7294551,100.5609211
ideal hotel pratunam,13.7518076,100.538359
Citichic Sukhumvit 13 Bangkok by Compass Hospitality,13.7449656,100.5580947
TANGO Vibrant Living Place,13.7538506,100.5426974
Ever Rich Hotel,13.7413145,100.5546827
Borarn House,13.7521512,100.5447088
CITY LODGE BANGKOK - Sukhumvit Soi 9,13.7404447,100.5558848
Patumwan House,13.749084,100.529409
Chiva Bangkok Hotel,13.7509781,100.5834699
Ibis Bangkok Sukhumvit 4,13.737928,100.5533406
13 Coins Resort Yotin Pattana,13.8111242,100.6219177
